left_manual,right_retrieval,right_imaginal,left_visual,left_imaginal,right_manual,left_retrieval,right_visual
7134.85938825293,6781.5505676682415,-7369.821424331144,6996.337828708017,7149.994478349679,7350.469265616204,6774.802464555443,7152.75588304388
7136.463159127149,6744.343152207651,-7343.81044656498,6989.4531745295835,7141.2509050066965,7351.279497128955,6755.70121124013,7132.051705543338
7137.739168449942,6754.390860066257,-7360.730566034203,6982.846140293718,7138.45516482677,7364.524727857572,6732.790282889986,7151.751317591208
7147.437611507659,6751.9071507186745,-7344.07642554204,6996.528185116855,7133.497589706826,7355.756043331699,6714.788670551315,7118.620598176943
7133.965852145981,6753.242922768466,-7332.613066101274,6955.9869211998675,7126.992847525155,7348.901985215593,6734.382307326602,7130.5118578685615
7106.308672816669,6743.425604806491,-7298.311710824284,6958.3352023113675,7123.434288080976,7349.437967262726,6726.699600676102,7088.136950413324
7121.098897690964,6761.414336959981,-7275.63519522679,6944.453856482731,7112.92751802514,7360.366547887858,6709.369547689519,7072.339655930565
7097.466396131157,6738.941592804886,-7261.200894471304,6940.313524821815,7107.785316019143,7339.296035997196,6695.1161945035565,7065.83024182085
7125.384317059238,6751.544165584975,-7263.808227497059,6947.36622364305,7112.061519366613,7357.894437820338,6702.219877839249,7069.046340998371
7139.081882444316,6761.542262459397,-7300.970407660767,6970.055526000725,7128.87841647637,7359.981877641338,6697.2350834094,7096.598772353197
7143.495532675382,6769.97795736704,-7303.250176688751,6993.141845456466,7135.356958020323,7345.167075845701,6721.8128376278,7121.450758186304
7132.427630315527,6786.329443430033,-7306.346398955205,6992.865834866913,7140.2711542562865,7359.926233099868,6723.824888805909,7142.297572282224
7124.839992650653,6789.116546635867,-7326.202841537617,6990.866537201836,7147.416461748568,7336.611833581089,6721.195140783928,7124.0862651205525
7111.963008495433,6779.289963737867,-7332.143198957218,7005.458061250961,7139.380328209372,7334.260492641297,6744.914678979996,7107.299620654301
